id,screen_name,friends_count,followers_count,self_description
987949359751872512,EIUmFkEw2avNp5q,367,86,天野碧海です。育英のf3です。よろしく。
705310264334233601,mihooneoklove,440,746,トプ右｜17｜西浜高校⇒通信(LJK)｜ピアス｜ONE OK ROCK｜天竜＆コンビニバイター
1389240854,s0j1_mkt,707,558,アクティブに٩( *˙0˙*)۶時間は有限⏳フットワークはとっても軽く、やりたいことはぜんぶやってみよう❣️❣️たくさん旅行をしたいです。写真、わくわくすることがすき。
827738111132131329,kotaro200216,168,223,高1 I.E バド部🏸 もっと強くなりたい、 @mip0000o推し インスタ率高め
875528323991969792,lli___eguyu25,130,60,"い り の み ゆ  ♡  え ぐ ち た く や
- - - - -Kiramune- - - - - - - - -▷◁.KAmiYU｡幸せ〜〜〜〜"
989171553622409216,__michan46__,72,8,ただの乃木オタのリプ垢 ?¿
990496542455775233,q41nW2ZNGRJVulZ,21,7,ミニオンLOVE      shs130
975660997796028416,h9U4rFhcfC3Katz,82,28,
812874132656308224,mi_sa_7913,440,381,3-C 10キロ無くなれ。
990242598731202560,yumena69465329,2,0,"ヘンジンマジメ/ぎんしゃむくん大好き　　#イラスト　#ぎんしゃむ　#ヘンジンマジメ
絵描き趣味もやってる。　フォロー出来るだけ返します！"
973063105419796480,LOVE96961339,15,0,HoneyWorksが大好きです╰(*´︶`*)╯♡恋雪くん大好き(マジ天使)好きな人いたら語り合いたいです(＞人＜;)♪
713380832249909249,SS___JY,76,1,あなたが思うよりあなたは魅力的
982933078292090880,rito2114_rito,40,3,趣味垢
980411876113723394,ebidaaaaan7,15,6,趣味アカ。❤︎ヘンジンマジメ❤︎洋楽❤︎超特急❤︎Mrs. GREEN APPLE❤︎さくらしめじ❤︎無言フォローごめんなさい🙇
945585095783587840,Naaaagisaman1,153,82,Lv.20 / 学生の存在をこじらせています。 / Like ▷▶︎▷ L'Arc~en~Ciel / Acid Black Cherry / Janne Da Arc / RADWIMPS / ミオヤマザキ / 三浦大知 / 安室奈美恵 etc… / ピアノ弾くこと歌うこと音楽と写真とお酒とツイキャスが大好きです。
990474011468447744,tof7rK296ZdgBOe,45,3,お願いします！
989886057029156865,ozDdfom9ce4fT1n,22,3,SW  T&F
